InstanceType,us-east-1a,us-east-1b,us-east-1c,us-east-1d,us-east-1e,us-east-1f
a1.2xlarge,True,True,False,True,False,False
a1.4xlarge,True,True,False,True,False,False
a1.large,True,True,False,True,False,False
a1.medium,True,True,False,True,False,False
a1.metal,True,True,False,True,False,False
a1.xlarge,True,True,False,True,False,False
c1.medium,True,True,True,True,False,False
c1.xlarge,True,True,True,True,False,False
c3.2xlarge,True,True,False,True,True,False
c3.4xlarge,True,True,False,True,True,False
c3.8xlarge,True,True,False,True,True,False
c3.large,True,True,False,True,True,False
c3.xlarge,True,True,False,True,True,False
c4.2xlarge,True,True,True,True,True,True
c4.4xlarge,True,True,True,True,True,True
c4.8xlarge,True,True,True,True,True,True
c4.large,True,True,True,True,True,True
c4.xlarge,True,True,True,True,True,True
c5.12xlarge,True,True,True,True,False,True
c5.18xlarge,True,True,True,True,False,True
c5.24xlarge,True,True,True,True,False,True
c5.2xlarge,True,True,True,True,False,True
c5.4xlarge,True,True,True,True,False,True
c5.9xlarge,True,True,True,True,False,True
c5.large,True,True,True,True,False,True
c5.metal,True,True,True,True,False,True
c5.xlarge,True,True,True,True,False,True
c5a.12xlarge,True,True,True,True,False,True
c5a.16xlarge,True,True,True,True,False,True
c5a.24xlarge,True,True,True,True,False,True
c5a.2xlarge,True,True,True,True,False,True
c5a.4xlarge,True,True,True,True,False,True
c5a.8xlarge,True,True,True,True,False,True
c5a.large,True,True,True,True,False,True
c5a.xlarge,True,True,True,True,False,True
c5ad.12xlarge,True,True,True,True,False,True
c5ad.16xlarge,True,True,True,True,False,True
c5ad.24xlarge,True,True,True,True,False,True
c5ad.2xlarge,True,True,True,True,False,True
c5ad.4xlarge,True,True,True,True,False,True
c5ad.8xlarge,True,True,True,True,False,True
c5ad.large,True,True,True,True,False,True
c5ad.xlarge,True,True,True,True,False,True
c5d.12xlarge,True,True,False,True,False,False
c5d.18xlarge,True,True,True,True,False,True
c5d.24xlarge,True,True,False,True,False,False
c5d.2xlarge,True,True,True,True,False,True
c5d.4xlarge,True,True,True,True,False,True
c5d.9xlarge,True,True,True,True,False,True
c5d.large,True,True,True,True,False,True
c5d.metal,True,True,True,True,False,False
c5d.xlarge,True,True,True,True,False,True
c5n.18xlarge,True,True,True,True,False,True
c5n.2xlarge,True,True,True,True,False,True
c5n.4xlarge,True,True,True,True,False,True
c5n.9xlarge,True,True,True,True,False,True
c5n.large,True,True,True,True,False,True
c5n.metal,True,True,True,True,False,True
c5n.xlarge,True,True,True,True,False,True
c6a.12xlarge,True,True,True,True,False,True
c6a.16xlarge,True,True,True,True,False,True
c6a.24xlarge,True,True,True,True,False,True
c6a.2xlarge,True,True,True,True,False,True
c6a.32xlarge,True,True,True,True,False,True
c6a.48xlarge,True,True,True,True,False,True
c6a.4xlarge,True,True,True,True,False,True
c6a.8xlarge,True,True,True,True,False,True
c6a.large,True,True,True,True,False,True
c6a.metal,True,True,True,True,False,True
c6a.xlarge,True,True,True,True,False,True
c6g.12xlarge,True,True,True,True,False,True
c6g.16xlarge,True,True,True,True,False,True
c6g.2xlarge,True,True,True,True,False,True
c6g.4xlarge,True,True,True,True,False,True
c6g.8xlarge,True,True,True,True,False,True
c6g.large,True,True,True,True,False,True
c6g.medium,True,True,True,True,False,True
c6g.metal,True,True,True,True,False,True
c6g.xlarge,True,True,True,True,False,True
c6gd.12xlarge,True,True,True,True,False,True
c6gd.16xlarge,True,True,True,True,False,True
c6gd.2xlarge,True,True,True,True,False,True
c6gd.4xlarge,True,True,True,True,False,True
c6gd.8xlarge,True,True,True,True,False,True
c6gd.large,True,True,True,True,False,True
c6gd.medium,True,True,True,True,False,True
c6gd.metal,True,True,True,True,False,True
c6gd.xlarge,True,True,True,True,False,True
c6gn.12xlarge,True,True,True,True,False,True
c6gn.16xlarge,True,True,True,True,False,True
c6gn.2xlarge,True,True,True,True,False,True
c6gn.4xlarge,True,True,True,True,False,True
c6gn.8xlarge,True,True,True,True,False,True
c6gn.large,True,True,True,True,False,True
c6gn.medium,True,True,True,True,False,True
c6gn.xlarge,True,True,True,True,False,True
c6i.12xlarge,True,True,True,True,False,True
c6i.16xlarge,True,True,True,True,False,True
c6i.24xlarge,True,True,True,True,False,True
c6i.2xlarge,True,True,True,True,False,True
c6i.32xlarge,True,True,True,True,False,True
c6i.4xlarge,True,True,True,True,False,True
c6i.8xlarge,True,True,True,True,False,True
c6i.large,True,True,True,True,False,True
c6i.metal,True,True,True,True,False,True
c6i.xlarge,True,True,True,True,False,True
c6id.12xlarge,True,True,True,True,False,True
c6id.16xlarge,True,True,True,True,False,True
c6id.24xlarge,True,True,True,True,False,True
c6id.2xlarge,True,True,True,True,False,True
c6id.32xlarge,True,True,True,True,False,True
c6id.4xlarge,True,True,True,True,False,True
c6id.8xlarge,True,True,True,True,False,True
c6id.large,True,True,True,True,False,True
c6id.metal,True,True,True,True,False,True
c6id.xlarge,True,True,True,True,False,True
c6in.12xlarge,True,True,True,True,False,True
c6in.16xlarge,True,True,True,True,False,True
c6in.24xlarge,True,True,True,True,False,True
c6in.2xlarge,True,True,True,True,False,True
c6in.32xlarge,True,True,True,True,False,True
c6in.4xlarge,True,True,True,True,False,True
c6in.8xlarge,True,True,True,True,False,True
c6in.large,True,True,True,True,False,True
c6in.metal,True,True,True,True,False,True
c6in.xlarge,True,True,True,True,False,True
c7a.12xlarge,True,True,True,True,False,True
c7a.16xlarge,True,True,True,True,False,True
c7a.24xlarge,True,True,True,True,False,True
c7a.2xlarge,True,True,True,True,False,True
c7a.32xlarge,True,True,True,True,False,True
c7a.48xlarge,True,True,True,True,False,True
c7a.4xlarge,True,True,True,True,False,True
c7a.8xlarge,True,True,True,True,False,True
c7a.large,True,True,True,True,False,True
c7a.medium,True,True,True,True,False,True
c7a.metal-48xl,True,True,True,True,False,True
c7a.xlarge,True,True,True,True,False,True
c7g.12xlarge,True,True,True,True,False,True
c7g.16xlarge,True,True,True,True,False,True
c7g.2xlarge,True,True,True,True,False,True
c7g.4xlarge,True,True,True,True,False,True
c7g.8xlarge,True,True,True,True,False,True
c7g.large,True,True,True,True,False,True
c7g.medium,True,True,True,True,False,True
c7g.metal,True,True,True,True,False,True
c7g.xlarge,True,True,True,True,False,True
c7gd.12xlarge,True,True,True,True,False,True
c7gd.16xlarge,True,True,True,True,False,True
c7gd.2xlarge,True,True,True,True,False,True
c7gd.4xlarge,True,True,True,True,False,True
c7gd.8xlarge,True,True,True,True,False,True
c7gd.large,True,True,True,True,False,True
c7gd.medium,True,True,True,True,False,True
c7gd.metal,True,True,True,True,False,True
c7gd.xlarge,True,True,True,True,False,True
c7gn.12xlarge,True,True,True,True,False,True
c7gn.16xlarge,True,True,True,True,False,True
c7gn.2xlarge,True,True,True,True,False,True
c7gn.4xlarge,True,True,True,True,False,True
c7gn.8xlarge,True,True,True,True,False,True
c7gn.large,True,True,True,True,False,True
c7gn.medium,True,True,True,True,False,True
c7gn.metal,True,True,True,True,False,True
c7gn.xlarge,True,True,True,True,False,True
c7i-flex.12xlarge,True,True,True,True,False,True
c7i-flex.16xlarge,True,True,True,True,False,True
c7i-flex.2xlarge,True,True,True,True,False,True
c7i-flex.4xlarge,True,True,True,True,False,True
c7i-flex.8xlarge,True,True,True,True,False,True
c7i-flex.large,True,True,True,True,False,True
c7i-flex.xlarge,True,True,True,True,False,True
c7i.12xlarge,True,True,True,True,False,True
c7i.16xlarge,True,True,True,True,False,True
c7i.24xlarge,True,True,True,True,False,True
c7i.2xlarge,True,True,True,True,False,True
c7i.48xlarge,True,True,True,True,False,True
c7i.4xlarge,True,True,True,True,False,True
c7i.8xlarge,True,True,True,True,False,True
c7i.large,True,True,True,True,False,True
c7i.metal-24xl,True,True,True,True,False,True
c7i.metal-48xl,True,True,True,True,False,True
c7i.xlarge,True,True,True,True,False,True
c8a.12xlarge,True,True,False,True,False,True
c8a.16xlarge,True,True,False,True,False,True
c8a.24xlarge,True,True,False,True,False,True
